,Issue No,Issue Date,Gazette Number,Category,Department,URL,Deleted,Archived URL,Archived Date
0,134,2023-04-21,Part III—Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","HOME DEPARTMENT (Police-VII)--THE TAMIL NADU ONLINE GAMING AUTHORITY AND REGULATION OF ONLINE GAMES RULES, 2023.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/134_Ex_III_1a_2023.pdf,False,,
1,133,2023-04-21,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,"HOME DEPARTMENT (Police-VII)--Date of coming into force of the Tamil Nadu Prohibition of Online Gambling and Regulation of Online Games Act, 2022 (Tamil Nadu Act 9 of 2023)",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/133_Ex_II_2_2023.pdf,False,,
2,128,2023-04-15,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,MUNICIPAL ADMINISTRATION AND WATER SUPPLY (ELECTION) DEPARTMENT--Notification of upgradation of Municipalities Level,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/128_Ex_II_2_2023.pdf,False,,
3,127,2023-04-15,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,MUNICIPAL ADMINISTRATION AND WATER SUPPLY (ELECTION) DEPARTMENT--Notification of upgradation of Municipalities Level,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/127_Ex_II_2_2023.pdf,False,,
4,125,2023-04-13,Part IV—Section 1,Tamil Nadu Bills,"L.A Bill No. 9 of 2023--A Bill further to amend the Tamil Nadu Shops and Establishments Act, 1947 (TAMIL)",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/125A_Ex_IV_1_T_2023.pdf,False,,
5,125,2023-04-13,Part IV—Section 1,Tamil Nadu Bills,"L.A Bill No. 9 of 2023--A Bill further to amend the Tamil Nadu Shops and Establishments Act, 1947 (ENGLISH)",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/125_Ex_IV_1_E_2023.pdf,False,,
6,124,2023-04-12,Part III—Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","MUNICIPAL ADMINISTRATION AND WATER SUPPLY (ELECTION) DEPARTMENT--The Tamil Nadu Urban Local Bodies Rules, 2023",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/124_Ex_III_1a_2023.pdf,False,,
7,123,2023-04-12,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"MUNICIPAL ADMINISTRATION AND WATER SUPPLY DEPARTMENT--Date of coming into force of the Tamil Nadu Urban Local Bodies (Amendment) Act, 2022 (Tamil Nadu Act 35 of 2022).",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/123_Ex_II_2_2023.pdf,False,,
8,121,2023-04-12,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT--Establishment of Tamil Nadu Salt Pan Workers Welfare Board under the Tamil Nadu Manual Workers (Regulation of Employment and Conditions of Work) Act, 1982.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/121_Ex_II_2_2023.pdf,False,,
9,120,2023-04-12,Part IV—Section 1,TAMIL NADU BILLS,"Bills: No. 7 of 2023—The Chennai City Police (Amendment) Act, 2023--No. 8 of 2023—The Factories (Tamil Nadu Amendment) Act, 2023.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/120_Ex_IV_1_E_2023.pdf,False,https://web.archive.org/web/20230425115055/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/120_Ex_IV_1_E_2023.pdf,2023-04-25 11:50:55
10,118,2023-04-11,Part II—Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,"PUBLIC DEPARTMENT (Military)--Notification under the Manoeuvres, Field Firing and Artillery Practice Act--Defining of certain area in Tiruchirappalli District and Authorisation of carrying out periodical field firing and artillery practice under the act.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/118_Ex_II_1_2023.pdf,False,,
11,116,2023-04-10,Part IV-Section 2,Tamil Nadu Acts and Ordinances,ACT No. 9 OF 2023 - An Act to prohibit Online gambling and to regulate Online games in the State of Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/116_Ex_IV_2_2023.pdf,False,https://web.archive.org/web/20230422021447/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/116_Ex_IV_2_2023.pdf,2023-04-22 02:14:47
12,114,2023-04-05,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"Notifications under the Tamil Nadu Goods and Services Tax Act, 2017--Amendment to Notifications",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/114_Ex_II_2_2023.pdf,False,,
13,113,2023-04-05,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/113_Ex_VI_1_2023.pdf,False,,
14,112,2023-04-03,Part VI-Section 2,"Notifications or Orders of interest to a section of the public issued by Heads of Departments, etc","TAMIL NADU ELECTRICITY REGULATORY COMMISSION, CHENNAI - Amendment to the TNERC (Procedure for Payment of Subsidy by the State Government) Regulations, 2008",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/112_Ex_VI_2_2023.pdf,False,https://web.archive.org/web/20230422195201/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/112_Ex_VI_2_2023.pdf,2023-04-22 19:52:01
15,111,2023-04-01,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"BACKWARD CLASSES, MOST BACKWARD CLASSES AND MINORITIES WELFARE DEPARTMENT - Appointment as Chief Executive Officer and Ex-Officio Secretary of the Tamil Nadu Waqf Board, Chennai under the Tamil Nadu Waqf Act, 1995",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/111_Ex_II_2_2023.pdf,False,,
16,110,2023-03-31,Part IV-Section 2,Tamil Nadu Acts and Ordinances,ACTS - No. 7 of 2023 and No. 8 of 2023,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/110_Ex_IV_2_2023.pdf,False,https://web.archive.org/web/20230422195106/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/110_Ex_IV_2_2023.pdf,2023-04-22 19:51:06
17,109,2023-03-30,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"COMMERCIAL TAXES AND REGISTRATION DEPARTMENT - Reduction of Registration Fee Payable under the Registration Act, 1908 - Amendments to Notification",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/109_Ex_II_2_2023.pdf,False,,
18,108,2023-03-30,Part III-Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","FINANCE DEPARTMENT - (Salaries) -Amendment to the Tamil Nadu Transparency in Tenders Rules, 2000",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/108_Ex_III_1a_2023.pdf,False,,
19,107,2023-03-30,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"COMMERCIAL TAXES AND REGISTRATION DEPARTMENT -Notifications under the Tamil Nadu Goods and Services Tax Act, 2017 -Amendments to Notifications",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/107_Ex_II_2_2023.pdf,False,,
20,105,2023-03-28,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/105_Ex_VI_1.pdf,False,,
21,104,2023-03-24,Part IV-Section 1,L.A Bill No. 5 of 2023,The Financial Year which commended on the 1st day April 2022,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/104_Ex_IV_1_E.pdf,False,,
22,104,2023-03-28,Part IV-Section 1,Tamil Nadu Bills,L.A Bill No. 5 of 2023 and L.A Bill No. 6 of 2023 (Tamil),http://www.stationeryprinting.tn.gov.in/extraordinary/2023/104A_Ex_IV_1_T_2023.pdf,False,,
23,103,2023-03-27,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/103_Ex_VI_1_2023.pdf,False,,
24,102,2023-03-24,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"TRANSPORT DEPARTMENT NOTICE UNDER SECTION (1) OF SECTION 4 OF THE TAMIL NADU ACQUISITION OF LAND FOR INDUSTRIAL PURPOSES ACT, 1997 (TAMIL NADU ACT 10 OF 1999) WITHDRAWAL FROM ACQUISITION OF LANDS",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/102_Ex_II_2.pdf,False,,
25,101,2023-03-23,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,HOME DEPARTMENT - Constitution of a district and sessions court at mayiladuthurai district under the Tamil nadu civil courts act and code of criminal procedure,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/101_Ex_II_2.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/101_Ex_II_2.pdf,2023-04-01 00:31:43
26,100,2023-03-23,Part II-Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,FINANCE DEPARTMENT - Market Borrowing Programme of State Government By Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/100_Ex_II_1.pdf,False,https://web.archive.org/web/20230422195212/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/100_Ex_II_1.pdf,2023-04-22 19:52:12
27,99,2023-03-23,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"COMMERCIAL TAXES AND REGISTRATION DEPARTMENT - Notification under the Registration Act, 1908. Amendment to Notification",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/99_Ex_II_2.pdf,False,,
28,98,2023-03-23,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"Notification under The Registration Act, 1908. Amendment to Notification",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/98_Ex_II_2.pdf,False,,
29,97,2023-03-23,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT - Permitting all shops and Establishments to keep open on all 365 days for the further period of three years under the Tamil Nadu Shops and Establishments act, 1947.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/97_Ex_II_2.pdf,False,https://web.archive.org/web/20230422195214/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/97_Ex_II_2.pdf,2023-04-22 19:52:14
30,96,2023-03-20,Part IV-Section 2,Tamil Nadu Acts and Ordinances,"ACT No. 6 OF 2023. - An Act further to Amend the Tamil Nadu Agricultural Produce Marketing (Regulation) Act, 1987",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/96_Ex_IV_2.pdf,False,https://web.archive.org/web/20230422195358/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/96_Ex_IV_2.pdf,2023-04-22 19:53:58
31,95,2023-03-20,Part VI—Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005.--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/95_Ex_VI_1_2023.pdf,False,,
32,94,2023-03-18,Part III-Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","HOME, PROHIBITION AND EXCISE DEPARTMENT - Amendments to the Tamil Nadu Liquor (Licence And Permit) Rules, 1981",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/94_Ex_III_1a.pdf,False,https://web.archive.org/web/20230424051457/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/94_Ex_III_1a.pdf,2023-04-24 05:14:57
33,92,2023-03-16,Part II-Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,FINANCE DEPARTMENT - Market Borrowing Programme of State Government By Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/92_Ex_II_1.pdf,False,,
34,91,2023-03-15,Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","CO-OPERATION FOOD AND CONSUMER PROTECTION DEPARTMENT--Amendments to the Tamil Nadu Co-Operative Societies Rules, 1988",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/91_Ex_III_1a_2023.pdf,False,,
35,90,2023-03-14,Part IV-Section 2,Tamil Nadu Acts and Ordinances,"ACT No. 5 OF 2023 - An Act further to amend the Tamil Nadu Government Servants (Conditions of Service) Act, 2016.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/90_Ex_IV_2.pdf,False,https://web.archive.org/web/20230422195329/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/90_Ex_IV_2.pdf,2023-04-22 19:53:29
36,89,2023-03-14,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"RURAL DEVELOPMENT AND PANCHAYAT RAJ DEPARTMENT - Removal of Vice-Chairman of The Kodumudi Panchayat Union Council, Erode District under the Tamil Nadu Panchayats Act, 1994.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/89_Ex_II_2.pdf,False,,
37,88,2023-03-13,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/88_Ex_VI_1.pdf,False,,
38,87,2023-03-13,Part III-Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","INDUSTRIES, INVESTMENT PROMOTION AND COMMERCE DEPARTMENT - Amendment to the Tamil Nadu Business Facilitation Rules, 2017.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/87_Ex_III_1a_2023.pdf,False,,
39,86,2023-03-09,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/86_Ex_VI_1_2023.pdf,False,,
40,85,2023-03-09,Part II-Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,FINANCE DEPARTMENT - Market Borrowing Programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/85_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/85_Ex_II_1_2023.pdf,2023-04-01 00:31:43
41,84,2023-03-08,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT-- Nomination of Official and Non-Official Members to the Tamil Nadu Unorganised Drivers and Automobile Workshop Workers Welfare Board……..,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/84_Ex_II_2_2023.pdf,True,,
42,83,2023-03-08,Part III--Section 1(a),"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT--Tamil Nadu Civil Services (Appointment on Compassionate Grounds Rules, 2023.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/83_Ex_III_1a_2023.pdf,True,https://web.archive.org/web/20230312153229/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/83_Ex_III_1a_2023.pdf,2023-03-12 15:32:29
43,82,2023-03-08,Part VI-Section 2,"Notifications or Orders of interest to a section of the public issued by Heads of Departments, etc.","TAMIL NADU STATE ELECTION COMMISSION, CHENNAI-600 106 - Elections – Urban Local Bodies - Indirect Elections – Casual Vacancy in the Office of the Member of Taxation Appeals Committee of Dhaliyur Town Panchayat of Coimbatore District.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/82_Ex_VI_2_2023.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/82_Ex_VI_2_2023.pdf,2023-04-01 00:31:43
44,81,2023-03-07,Part IV-Section 2,Tamil Nadu Acts and Ordinances,"ACT No. 4 OF 2023 - The Tamil Nadu Repealing Act, 2023",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/81_Ex_IV_2_2023.pdf,False,,
45,80,2023-03-07,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"RURAL DEVELOPMENT AND PANCHAYAT RAJ DEPARTMENT - Constitution of District Planning Committee in Chengalpattu, Ranipet, Tirupathur, Kallakurichi and Tenkasi Districts under the Tamil Nadu Panchayats Act, 1994",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/80_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/80_Ex_II_2_2023.pdf,2023-04-01 00:31:43
