,Part,Content,URL,Date,Issue,Deleted,Archived URL,Archived Date
0,4. Part III--Section 1b,"Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments HEALTH AND FAMILY WELFARE DEPARTMENT - Amendment to Ad hoc Rules for the Post of Health Inspector Grade II in Tamil Nadu Public Health Subordinate Service. SCHOOL EDUCATION DEPARTMENT - Re issue of Special Rules for the Tamil Nadu General Service",http://www.stationeryprinting.tn.gov.in/gazette/2023/16_III_1b_2023.pdf,2023-04-19,16,False,https://web.archive.org/web/20230419185957/http://www.stationeryprinting.tn.gov.in/gazette/2023/16_III_1b_2023.pdf,2023-04-19 18:59:57
2,8. Part VI--Section 4,Advertisements by private individuals and private institutions PRIVATE ADVERTISEMENTS - Change of Names and Notices - Notices,http://www.stationeryprinting.tn.gov.in/gazette/2023/16_VI_4_2023.pdf,2023-04-19,16,False,,
1,6. Part VI--Section 2,"Notifications of interest to a section of the public issued by Heads of Departments, etc GOVERNMENT EXAMINATIONS / EDUCATIONAL OFFICERS - Loss of Certificates",http://www.stationeryprinting.tn.gov.in/gazette/2023/16_VI_2_2023.pdf,2023-04-19,16,False,,
3,1. Part I,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments II. NOTICE REGARDING PARTS AND SECTIONS OF THE GAZETTE NOT PUBLISHED DURING THE WEEK PUBLIC DEPARTMENT - (Special-A) - Appointment & Transfer I. NOTICE REGARDING GAZETTE EXTRAORDINARY ISSUES PUBLISHED DURING THE WEEK II. NOTICE REGARDING PARTS AND SECTIONS OF THE GAZETTE NOT PUBLISHED DURING THE WEEK PUBLIC DEPARTMENT - (Special-A) - Appointment & Transfer,http://www.stationeryprinting.tn.gov.in/gazette/2023/15_I_2023.pdf,2023-04-12,15,False,,
4,2. Part II--Section 2,"Notifications or Orders of interest to a section of the public issued by Secretariat Departments ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT - Tamil Nadu State Commission for Scheduled Castes and Scheduled Tribes Act. ANIMAL HUSBANDRY, DAIRYING, FISHERIES AND FISHERMEN WELFARE DEPARTMENT - Prevention of Cruelty to Animals Act, Places and Dates for Conducting Jallikattu / Erudhu Vidum Vizha in certain District. COMMERCIAL TAXES AND REGISTRATION DEPARTMENT Indian Stamp Act.—Provisions for the consolidation of Duty Chargeable in respect of Insurance policies by the Life Insurance Corporation of India ENVIRONMENT, CLIMATE CHANGE AND FORESTS DEPARTMENT - Tamil Nadu Forest Act.—Declarations Kallikuttukaradu Forest Block, in Melur Taluk, Madurai District, as Reserved Forest HIGHER EDUCATION DEPARTMENT - Alagappa University Act, Nomination of Syndicate Member of Alagappa University by the Hon'ble Governor - Chancellor HOME DEPARTMENT - Human Rights Act, Appointment of Special Public Prosecutor (Human Rights Act Cases), Principal District and Sessions Court LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT Minimum Wages Act.—Constitutiion of Committee for revision of minimum rates of wages for the employment in fire works manufactory. LAW DEPARTMENT - Notaries Act.—Removal of Certain Notary name in the City of Chennai from the Register of Notaries TOURISM, CULTURE AND RELIGIOUS ENDOWMENTS DEPARTMENT Tamil Nadu Ancient and Historical Monuments and Archaeological Sites Remains Act. WELFARE OF DIFFERENTLY ABLED PERSONS DEPARTMENT Rights of Persons with Disabilities Act.—Identification of suitable posts for Differently Abled Persons",http://www.stationeryprinting.tn.gov.in/gazette/2023/15_II_2_2023.pdf,2023-04-12,15,False,,
5,3. Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT - Amendments to the Tamil Nadu Catering Establishments Rules.",http://www.stationeryprinting.tn.gov.in/gazette/2023/15_III_1a_2023.pdf,2023-04-12,15,False,,
6,4. Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc GENERAL NOTIFICATIONS - Winding up the aff airs of certain Co-operative Societies in certain District and Appointment of Official Liquidator JUDICIAL NOTIFICATIONS - Constitution of a District Munsif-cum-Judicial Magistrate Court at Viralimalai in Pudukkottai District.",http://www.stationeryprinting.tn.gov.in/gazette/2023/15_VI_1_2023.pdf,2023-04-12,15,False,,
7,5. Part VI--Section 1A-Sup,"Notifications of interest to the General Public issued by Heads of Departments, Etc. JUDICIAL NOTIFICATIONS - Destruction of Records in the office of the City Civil Court, Chennai",http://www.stationeryprinting.tn.gov.in/gazette/2023/15_VI_1A_Sup_2023.pdf,2023-04-12,15,False,,
8,6. Part VI--Section 3a,Notifications issued by cost recoverable institutions of State and Central Governments. JUDICIAL NOTIFICATIONS - Special Original Jurisdiction JUDICIAL NOTIFICATIONS - Special Original Jurisdiction,http://www.stationeryprinting.tn.gov.in/gazette/2023/15_VI_3a_2023.pdf,2023-04-12,15,False,,
9,7. Part VI--Section 3b,"Notifications issued by Quasi - Government bodies and Public Sector undertakings UNIVERSITY AUTHORITIES - BHARATHIDASAN UNIVERSITY, TIRUCHIRAPPALLI - 620 024 - Election to the Syndicate",http://www.stationeryprinting.tn.gov.in/gazette/2023/15_VI_3b_2023.pdf,2023-04-12,15,False,,
